GROCERY I,274025.28802303906
BEVERAGES,166110.4022222388
PRODUCE,121507.56055855314
CLEANING,57053.45736510567
DAIRY,43935.603982413886
BREAD/BAKERY,26202.25672394513
FROZEN FOODS,23970.577252269002
POULTRY,19270.439291183233
MEATS,16278.686687773736
PERSONAL CARE,15969.042411307255
DELI,14600.368335256826
HOME CARE,12511.504823227311
EGGS,8837.888454004406
PREPARED FOODS,5317.486525241311
LIQUOR WINE BEER,5221.4380009757615
HOME AND KITCHEN I,2032.180042174977
HOME AND KITCHEN II,1545.8733160621034
GROCERY II,1287.574243249476
SEAFOOD,988.8727005910755
CELEBRATION,833.7128834084681
LAWN AND GARDEN,609.8107269471286
PLAYERS AND ELECTRONICS,605.160423184582
LADIESWEAR,443.19844991144316
PET SUPPLIES,364.4626176474394
MAGAZINES,329.0244251769064
AUTOMOTIVE,317.21058018415465
LINGERIE,300.6343823979346
BEAUTY,232.2740913110078
HARDWARE,69.39858837546234
SCHOOL AND OFFICE SUPPLIES,66.91486675982567
BOOKS,38.19783527461449
BABY CARE,20.296824937643184
HOME APPLIANCES,10.63454150130331
