44.0,46951.94366677334
49.0,39558.374238254944
47.0,38013.562464016584
45.0,36653.20326506531
3.0,35669.65135584951
46.0,26504.35384670405
51.0,25555.570806452964
48.0,23574.876928093756
7.0,23567.30713535326
8.0,23298.821939475245
50.0,22397.180282392586
11.0,20624.41682939149
24.0,18672.721764891183
9.0,18562.658621425137
6.0,17882.861893145062
39.0,15415.374269288075
40.0,15398.283646051652
2.0,14882.933155927632
17.0,14873.116924693935
1.0,14142.990928608106
28.0,14005.291307010031
20.0,13935.570965357896
37.0,13753.653354281449
26.0,13635.490170761439
27.0,13037.408607606309
42.0,12866.703065118765
29.0,12778.701652628386
31.0,12471.390425647089
4.0,12451.93139312283
36.0,11851.593698047127
41.0,11727.041989280913
43.0,11660.144447013694
34.0,11329.008115404755
38.0,10870.411859309113
53.0,10812.532689734846
18.0,10622.562873246234
21.0,10466.645546466563
5.0,9860.556169114723
33.0,9819.018426260347
19.0,9491.787774236862
16.0,9216.230922710494
54.0,8803.97431204375
15.0,8757.090710174918
23.0,8679.01971056665
12.0,8002.658193310884
14.0,7708.002940613583
13.0,6980.361951239674
30.0,6617.6220220294545
25.0,6041.664480758996
10.0,5805.113821130708
22.0,5701.391259757323
35.0,4964.990664245882
32.0,3981.6627155445435
52.0,0.0
