44,GROCERY I,13980.793365616402
47,GROCERY I,12103.721588522127
45,GROCERY I,11306.836890333268
49,GROCERY I,10620.613537344021
46,GROCERY I,10179.41939790195
3,GROCERY I,9220.83782802985
44,PRODUCE,9114.09185193162
44,BEVERAGES,8895.512009634163
48,GROCERY I,8740.14854037311
50,GROCERY I,8527.961595166733
49,PRODUCE,8396.027923115555
49,BEVERAGES,8295.725857621892
47,BEVERAGES,7963.494612069749
26,GROCERY I,7745.9878550807325
3,BEVERAGES,7675.644652737241
45,BEVERAGES,7628.4810180330915
11,GROCERY I,7532.9023521630625
51,GROCERY I,7389.844602930766
3,PRODUCE,7206.400206831956
9,GROCERY I,7085.138952055982
40,GROCERY I,6528.436211452717
8,GROCERY I,6519.1407448517275
47,PRODUCE,5710.9276580919195
7,GROCERY I,5644.058144257909
6,GROCERY I,5582.661624687135
7,PRODUCE,5577.369974319227
51,BEVERAGES,5485.794074783296
11,BEVERAGES,5433.735321576641
45,PRODUCE,5376.73672413878
17,GROCERY I,5351.663564431025
20,GROCERY I,5298.478824689418
42,GROCERY I,5165.048691199509
39,GROCERY I,5150.410507554703
51,PRODUCE,4999.907154136043
24,GROCERY I,4938.6147900813685
16,GROCERY I,4782.351821424472
7,BEVERAGES,4776.270570300171
2,GROCERY I,4748.116789637271
8,BEVERAGES,4608.418426412206
1,GROCERY I,4513.293241270002
46,BEVERAGES,4455.158314478336
8,PRODUCE,4436.054370679315
28,GROCERY I,4399.835178278605
48,BEVERAGES,4385.145505486131
29,GROCERY I,4331.16278159133
37,GROCERY I,4164.576937768678
50,BEVERAGES,4112.7028170103185
34,GROCERY I,4088.236693604864
36,GROCERY I,3976.285898095895
19,GROCERY I,3966.4030603243045
41,GROCERY I,3943.9358599749244
6,BEVERAGES,3925.492475516571
27,GROCERY I,3916.7705243933246
4,GROCERY I,3902.1954220015505
31,GROCERY I,3891.9771085117386
38,GROCERY I,3884.7561734598266
24,BEVERAGES,3849.3743850644564
18,GROCERY I,3695.8404075240037
21,GROCERY I,3642.360143429279
54,GROCERY I,3584.2689481889515
43,GROCERY I,3577.3205572795223
33,GROCERY I,3473.290110312247
9,BEVERAGES,3469.941914609179
17,BEVERAGES,3352.4011072860935
5,GROCERY I,3333.3600689205264
20,BEVERAGES,3331.58982541707
